Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Output layer,Epochs,MSE error
25,Adam,32,,50,,,1,10,0.002031
25,RMSprop,32,,50,,,1,10,0.002087
25,Adam,64,,50,,,1,10,0.002185
25,Adam,32,0.1,50,,,1,10,0.002137
25,Adam,32,0.05,50,,,1,10,0.002083
25,Adam,32,0.01,50,,,1,10,0.002018
25,Adam,32,0.005,50,,,1,10,0.002014
25,Adam,32,0.001,50,,,1,10,0.002018
25,Adam,32,0.005,100,,,1,10,0.002047
25,Adam,32,0.005,50,0.1,,1,10,0.002071
25,Adam,32,0.005,50,,50.0,1,10,0.002056
25,Adam,32,0.005,50,,,1,20,0.002105
