Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Output layer,Epochs,MSE error
30,Adam,32,,50,,,1,10,0.002004
30,RMSprop,32,,50,,,1,10,0.002047
30,Adam,64,,50,,,1,10,0.002032
30,Adam,32,0.1,50,,,1,10,0.015158
30,Adam,32,0.05,50,,,1,10,0.00204
30,Adam,32,0.01,50,,,1,10,0.00208
30,Adam,32,0.005,50,,,1,10,0.002263
30,Adam,32,0.001,50,,,1,10,0.00208
30,Adam,32,,100,,,1,10,0.002096
30,Adam,32,,50,0.1,,1,10,0.002028
30,Adam,32,,50,,50.0,1,10,0.002028
30,Adam,32,,50,,,1,20,0.002097
