Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
15,Adam,32,,50,,,,,1,10,0.012933,0.058176,0.001824,0.042712
15,RMSprop,32,,50,,,,,1,10,0.013506,0.06436,0.001847,0.042978
15,Adam,64,,50,,,,,1,10,0.016758,0.081087,0.002445,0.049449
15,Adam,32,0.1,50,,,,,1,10,0.036101,0.195138,0.00281,0.053013
15,Adam,32,0.05,50,,,,,1,10,0.016697,0.085019,0.002133,0.046184
15,Adam,32,0.01,50,,,,,1,10,0.02336,0.128703,0.002301,0.047968
15,Adam,32,0.005,50,,,,,1,10,0.010777,0.051141,0.001808,0.042519
15,Adam,32,0.001,50,,,,,1,10,0.02336,0.128703,0.002301,0.047968
15,Adam,32,0.005,100,,,,,1,10,0.014637,0.077302,0.001852,0.043038
15,Adam,32,0.005,50,0.1,,,,1,10,0.015182,0.075445,0.001899,0.043575
15,Adam,32,0.005,50,,50,,,1,10,0.010689,0.052357,0.001894,0.043518
15,Adam,32,0.005,50,,,,,1,20,0.014184,0.076167,0.001907,0.043674
