Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
25,Adam,32,,50,,,,,1,10,0.021512,0.085131,0.002007,0.044801
25,RMSprop,32,,50,,,,,1,10,0.023064,0.08598,0.002084,0.045648
25,Adam,64,,50,,,,,1,10,0.024111,0.08767,0.002244,0.047368
25,Adam,32,0.1,50,,,,,1,10,0.020791,0.078015,0.002096,0.045784
25,Adam,32,0.05,50,,,,,1,10,0.02733,0.105585,0.002285,0.047799
25,Adam,32,0.01,50,,,,,1,10,0.022327,0.078284,0.002064,0.045436
25,Adam,32,0.005,50,,,,,1,10,0.021713,0.083822,0.002074,0.04554
25,Adam,32,0.001,50,,,,,1,10,0.022327,0.078284,0.002064,0.045436
25,Adam,32,0.1,100,,,,,1,10,0.027932,0.109917,0.002377,0.048754
25,Adam,32,0.1,50,0.1,,,,1,10,0.031217,0.186418,0.00247,0.049701
25,Adam,32,0.1,50,,50,,,1,10,0.028495,0.125518,0.002446,0.049452
25,Adam,32,0.1,50,,,,,1,20,0.021766,0.083192,0.002136,0.046214
