Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
5,Adam,32,,50,,,,,1,10,0.011943,0.057024,0.001834,0.042828
5,RMSprop,32,,50,,,,,1,10,0.014134,0.061505,0.001822,0.042686
5,Adam,64,,50,,,,,1,10,0.016937,0.082864,0.002659,0.05157
5,Adam,32,0.1,50,,,,,1,10,0.019179,0.106886,0.002075,0.045556
5,Adam,32,0.05,50,,,,,1,10,0.020574,0.104792,0.001988,0.04459
5,Adam,32,0.01,50,,,,,1,10,0.012338,0.062135,0.00183,0.042782
5,Adam,32,0.005,50,,,,,1,10,0.010836,0.051084,0.001823,0.042695
5,Adam,32,0.001,50,,,,,1,10,0.012338,0.062135,0.00183,0.042782
5,Adam,32,0.005,100,,,,,1,10,0.011804,0.05511,0.001828,0.04275
5,Adam,32,0.005,50,0.1,,,,1,10,0.011749,0.058326,0.001831,0.042784
5,Adam,32,0.005,50,,50,,,1,10,0.01358,0.071594,0.001902,0.043608
5,Adam,32,0.005,50,,,,,1,20,0.015791,0.077961,0.0019,0.043592
