Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
10,Adam,32,,50,,,,,1,10,0.020345,0.07531,0.00198,0.044498
10,RMSprop,32,,50,,,,,1,10,0.024135,0.106225,0.002155,0.046424
10,Adam,64,,50,,,,,1,10,0.026757,0.106641,0.002565,0.050645
10,Adam,32,0.1,50,,,,,1,10,0.025646,0.106002,0.002185,0.046746
10,Adam,32,0.05,50,,,,,1,10,0.022393,0.077619,0.002132,0.046169
10,Adam,32,0.01,50,,,,,1,10,0.024583,0.11002,0.002183,0.046722
10,Adam,32,0.005,50,,,,,1,10,0.02536,0.111802,0.002194,0.04684
10,Adam,32,0.001,50,,,,,1,10,0.024583,0.11002,0.002183,0.046722
10,Adam,32,,100,,,,,1,10,0.02033,0.077081,0.002003,0.044754
10,Adam,32,,50,0.1,,,,1,10,0.022268,0.087595,0.00209,0.045721
10,Adam,32,,50,,50,,,1,10,0.020372,0.077518,0.002004,0.04477
10,Adam,32,,50,,,,,1,20,0.020381,0.074959,0.002049,0.045265
10,Adam,32,,50,,,,,1,30,0.021787,0.07896,0.002027,0.045024
