Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
15,Adam,32,,50,,,,,1,10,0.021963,0.086015,0.002031,0.045063
15,RMSprop,32,,50,,,,,1,10,0.023073,0.097727,0.002102,0.045846
15,Adam,64,,50,,,,,1,10,0.026016,0.100981,0.002505,0.050054
15,Adam,32,0.1,50,,,,,1,10,0.023612,0.106149,0.002249,0.047422
15,Adam,32,0.05,50,,,,,1,10,0.028634,0.099055,0.002412,0.049107
15,Adam,32,0.01,50,,,,,1,10,0.030749,0.111999,0.002459,0.049589
15,Adam,32,0.005,50,,,,,1,10,0.024594,0.082993,0.002169,0.04657
15,Adam,32,0.001,50,,,,,1,10,0.030749,0.111999,0.002459,0.049589
15,Adam,32,0.005,100,,,,,1,10,0.033338,0.122054,0.002651,0.051491
15,Adam,32,0.005,50,0.1,,,,1,10,0.020882,0.081045,0.002047,0.045248
15,Adam,32,0.005,50,0.1,50,,,1,10,0.02124,0.080831,0.002124,0.046085
15,Adam,32,0.005,50,0.1,100,,,1,10,0.039621,0.178691,0.003032,0.055062
15,Adam,32,0.005,50,0.2,,,,1,10,0.02953,0.103907,0.0024,0.048985
15,Adam,32,0.005,50,0.1,50,0.1,,1,10,0.029741,0.180933,0.002365,0.048627
15,Adam,32,0.005,50,0.1,50,,,1,20,0.025559,0.105548,0.002371,0.048692
