Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
25,Adam,32,,50,,,,,1,10,0.012478,0.056204,0.001835,0.042836
25,RMSprop,32,,50,,,,,1,10,0.012514,0.056939,0.001816,0.042613
25,Adam,64,,50,,,,,1,10,0.013487,0.060221,0.00193,0.043927
25,Adam,32,0.1,50,,,,,1,10,0.020206,0.113982,0.002136,0.046219
25,Adam,32,0.05,50,,,,,1,10,0.020668,0.114666,0.00219,0.046794
25,Adam,32,0.01,50,,,,,1,10,0.012911,0.062051,0.001843,0.042933
25,Adam,32,0.005,50,,,,,1,10,0.013141,0.064064,0.001844,0.042937
25,Adam,32,0.001,50,,,,,1,10,0.012911,0.062051,0.001843,0.042933
25,Adam,32,,100,,,,,1,10,0.011594,0.055983,0.001813,0.042577
25,Adam,32,,100,0.1,,,,1,10,0.013066,0.063178,0.001825,0.04272
25,Adam,32,,100,,50,,,1,10,0.017154,0.083024,0.001912,0.043728
25,Adam,32,,100,,,,,1,20,0.011638,0.054141,0.001805,0.042484
25,Adam,32,,100,,,,,1,30,0.012958,0.059748,0.001834,0.042821
