Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
30,Adam,32,,50,,,,,1,10,0.012892,0.059515,0.001843,0.042926
30,RMSprop,32,,50,,,,,1,10,0.017057,0.077014,0.001873,0.043275
30,Adam,64,,50,,,,,1,10,0.013222,0.06426,0.002055,0.045337
30,Adam,32,0.1,50,,,,,1,10,0.018787,0.083944,0.002249,0.047424
30,Adam,32,0.05,50,,,,,1,10,0.010813,0.053302,0.001868,0.043221
30,Adam,32,0.01,50,,,,,1,10,0.020407,0.112591,0.002015,0.044892
30,Adam,32,0.005,50,,,,,1,10,0.011762,0.05992,0.001841,0.042906
30,Adam,32,0.001,50,,,,,1,10,0.020407,0.112591,0.002015,0.044892
30,Adam,32,0.05,100,,,,,1,10,0.293096,1.726908,0.090901,0.301498
30,Adam,32,0.05,50,0.1,,,,1,10,0.03017,0.171165,0.00301,0.054864
30,Adam,32,0.05,50,,50,,,1,10,0.014864,0.070726,0.001857,0.043098
30,Adam,32,0.05,50,,,,,1,20,0.010618,0.051346,0.001831,0.042792
30,Adam,32,0.05,50,,,,,1,30,0.01831,0.088785,0.001895,0.043537
