Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
20,Adam,32,,50,,,,,1,10,0.012457,0.057628,0.001861,0.043136
20,RMSprop,32,,50,,,,,1,10,0.013382,0.068889,0.001943,0.044082
20,Adam,64,,50,,,,,1,10,0.012772,0.061331,0.002049,0.045265
20,Adam,32,0.1,50,,,,,1,10,0.01227,0.05878,0.001795,0.042368
20,Adam,32,0.05,50,,,,,1,10,0.120803,0.669086,0.016434,0.128196
20,Adam,32,0.01,50,,,,,1,10,0.014821,0.078361,0.001971,0.044394
20,Adam,32,0.005,50,,,,,1,10,0.01074,0.051085,0.001817,0.042621
20,Adam,32,0.001,50,,,,,1,10,0.014821,0.078361,0.001971,0.044394
20,Adam,32,0.005,100,,,,,1,10,0.01698,0.092862,0.001951,0.044173
20,Adam,32,0.005,50,0.1,,,,1,10,0.021325,0.120427,0.002108,0.045917
20,Adam,32,0.005,50,,50,,,1,10,0.010519,0.051351,0.001876,0.043318
20,Adam,32,0.005,50,,,,,1,20,0.012345,0.061195,0.001862,0.043152
