Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
20,Adam,32,,50,,,,,1,10,0.020944,0.07768,0.001977,0.044458
20,RMSprop,32,,50,,,,,1,10,0.022332,0.103089,0.002051,0.045292
20,Adam,64,,50,,,,,1,10,0.024254,0.090601,0.002132,0.04617
20,Adam,32,0.1,50,,,,,1,10,0.021808,0.077436,0.002142,0.046281
20,Adam,32,0.05,50,,,,,1,10,0.025341,0.107421,0.002387,0.048852
20,Adam,32,0.01,50,,,,,1,10,0.024354,0.081011,0.00214,0.046255
20,Adam,32,0.005,50,,,,,1,10,0.020603,0.075586,0.002082,0.045629
20,Adam,32,0.001,50,,,,,1,10,0.024354,0.081011,0.00214,0.046255
20,Adam,32,0.005,100,,,,,1,10,0.025168,0.129331,0.002161,0.046489
20,Adam,32,0.005,50,0.1,,,,1,10,0.022006,0.094634,0.002075,0.045557
20,Adam,32,0.005,50,,50,,,1,10,0.028265,0.174193,0.002307,0.048028
20,Adam,32,0.005,50,,,,,1,20,0.023093,0.114096,0.002086,0.045674
