Lags,Optimizer,Batch_size,Learning rate,Frist layer,Drop out,Second layer,Drop out2,Third layer,Output layer,Epochs,MAE error,MAPE error,MSE error,RMSE error
30,Adam,32,,50,,,,,1,10,0.026799,0.09603,0.002205,0.046956
30,RMSprop,32,,50,,,,,1,10,0.026451,0.112134,0.002275,0.047702
30,Adam,64,,50,,,,,1,10,0.025145,0.106561,0.002341,0.048383
30,Adam,32,0.1,50,,,,,1,10,0.0353,0.180074,0.003722,0.061011
30,Adam,32,0.05,50,,,,,1,10,0.055625,0.32054,0.00459,0.067749
30,Adam,32,0.01,50,,,,,1,10,0.022734,0.104956,0.002059,0.045379
30,Adam,32,0.005,50,,,,,1,10,0.021521,0.081069,0.002045,0.045226
30,Adam,32,0.001,50,,,,,1,10,0.022734,0.104956,0.002059,0.045379
30,Adam,32,0.005,100,,,,,1,10,0.020973,0.077932,0.002028,0.045035
30,Adam,32,0.005,100,0.1,,,,1,10,0.022035,0.089694,0.002071,0.045506
30,Adam,32,0.005,100,,50,,,1,10,0.025626,0.141868,0.002191,0.046804
30,Adam,32,0.005,50,,,,,1,20,0.022289,0.092985,0.002119,0.046036
